Gender,Age,Type of Injury,Area,Type of Vehicle
Mænd,0-17 år,Dræbte,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Dræbte,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Dræbte,Region Hovedstaden,Knallert
Mænd,0-17 år,Dræbte,Region Hovedstaden,Cykel
Mænd,0-17 år,Dræbte,Region Hovedstaden,Cykel
Mænd,0-17 år,Dræbte,Region Hovedstaden,Cykel
Mænd,0-17 år,Dræbte,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Dræbte,Region Sjælland,Almindelig personbil
Mænd,0-17 år,Dræbte,Region Sjælland,Fodgænger
Mænd,0-17 år,Dræbte,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Dræbte,Region Syddanmark,Almindelig personbil
Mænd,0-17 år,Dræbte,Region Syddanmark,Knallert
Mænd,0-17 år,Dræbte,Region Syddanmark,Fodgænger
Mænd,0-17 år,Dræbte,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Dræbte,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Dræbte,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Dræbte,Region Midtjylland,Almindelig personbil
Mænd,0-17 år,Dræbte,Region Midtjylland,Motorcykel
Mænd,0-17 år,Dræbte,Region Midtjylland,Knallert
Mænd,0-17 år,Dræbte,Region Nordjylland,Almindelig personbil
Mænd,0-17 år,Dræbte,Region Nordjylland,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Almindelig personbil
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Varebil 0-3.500 kg.
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Motorcykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Knallert
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Cykel
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
Mænd,0-17 år,Alvorligt tilskadekomne,Region Hovedstaden,Fodgænger
