Gender,Age,Type of Injury,Area,Type of Vehicle,Incidents
Mænd,0-17 år,Dræbte,Region Hovedstaden,Almindelig personbil,2
Mænd,0-17 år,Dræbte,Region Hovedstaden,Taxi,0
Mænd,0-17 år,Dræbte,Region Hovedstaden,Køretøj 0-3.500 kg under udrykning,0
Mænd,0-17 år,Dræbte,Region Hovedstaden,Varebil 0-3.500 kg.,0
Mænd,0-17 år,Dræbte,Region Hovedstaden,Lastbil over 3.500 kg.,0
Mænd,0-17 år,Dræbte,Region Hovedstaden,Bus,0
Mænd,0-17 år,Dræbte,Region Hovedstaden,Motorcykel,0
Mænd,0-17 år,Dræbte,Region Hovedstaden,Knallert,0
Mænd,0-17 år,Dræbte,Region Hovedstaden,Knallert,1
Mænd,0-17 år,Dræbte,Region Hovedstaden,Cykel,3
Mænd,0-17 år,Dræbte,Region Hovedstaden,Fodgænger,1
Mænd,0-17 år,Dræbte,Region Hovedstaden,Andre,0
Mænd,0-17 år,Dræbte,Region Sjælland,Almindelig personbil,1
Mænd,0-17 år,Dræbte,Region Sjælland,Taxi,0
Mænd,0-17 år,Dræbte,Region Sjælland,Køretøj 0-3.500 kg under udrykning,0
Mænd,0-17 år,Dræbte,Region Sjælland,Varebil 0-3.500 kg.,0
Mænd,0-17 år,Dræbte,Region Sjælland,Lastbil over 3.500 kg.,0
Mænd,0-17 år,Dræbte,Region Sjælland,Bus,0
Mænd,0-17 år,Dræbte,Region Sjælland,Motorcykel,0
Mænd,0-17 år,Dræbte,Region Sjælland,Knallert,0
Mænd,0-17 år,Dræbte,Region Sjælland,Knallert,0
Mænd,0-17 år,Dræbte,Region Sjælland,Cykel,0
Mænd,0-17 år,Dræbte,Region Sjælland,Fodgænger,1
Mænd,0-17 år,Dræbte,Region Sjælland,Andre,0
Mænd,0-17 år,Dræbte,Region Syddanmark,Almindelig personbil,2
Mænd,0-17 år,Dræbte,Region Syddanmark,Taxi,0
Mænd,0-17 år,Dræbte,Region Syddanmark,Køretøj 0-3.500 kg under udrykning,0
Mænd,0-17 år,Dræbte,Region Syddanmark,Varebil 0-3.500 kg.,0
Mænd,0-17 år,Dræbte,Region Syddanmark,Lastbil over 3.500 kg.,0
Mænd,0-17 år,Dræbte,Region Syddanmark,Bus,0
Mænd,0-17 år,Dræbte,Region Syddanmark,Motorcykel,0
Mænd,0-17 år,Dræbte,Region Syddanmark,Knallert,0
Mænd,0-17 år,Dræbte,Region Syddanmark,Knallert,1
Mænd,0-17 år,Dræbte,Region Syddanmark,Cykel,0
Mænd,0-17 år,Dræbte,Region Syddanmark,Fodgænger,1
Mænd,0-17 år,Dræbte,Region Syddanmark,Andre,0
Mænd,0-17 år,Dræbte,Region Midtjylland,Almindelig personbil,4
Mænd,0-17 år,Dræbte,Region Midtjylland,Taxi,0
Mænd,0-17 år,Dræbte,Region Midtjylland,Køretøj 0-3.500 kg under udrykning,0
